city,latitude,longitude,name,zip,state
Jacksonville,39.723221,-90.225307,Jimmy John's,62650,IL
Jacksonville,39.72263,-90.24358,Burger King,62650,IL
Macomb,40.45991,-90.64454,Arby's,61455,IL
Danville,40.119324,-87.636202,McDonald's,61832,IL
Danville,40.138555,-87.630379,Hardee's,61832,IL
Danville,40.116181,-87.636225,Long John Silver's,61832,IL
Vincennes,38.65964,-87.50887,Arby's,47591,IN
Decatur,40.834574,-84.937724,Taco Bell,46733,IN
Decatur,40.81476,-84.938277,Arby's,46733,IN
Pittsfield,39.606653,-90.82158,Hardee's,62363,IL
Auburn,41.366782,-85.065641,Penguin Point,46706,IN
Kendallville,41.452697,-85.273445,Arby's,46755,IN
Kendallville,41.452288,-85.267806,Wendy's,46755,IN
Kendallville,41.45062,-85.24563,Burger King,46755,IN
Kendallville,41.452289,-85.268745,McDonald's,46755,IN
Ligonier,41.412,-85.5717,KFC,46767,IN
Columbia City,41.169649,-85.493215,Taco Bell,46725,IN
Litchfield,39.17805,-89.67558,KFC,62056,IL
Scottsburg,38.6854,-85.7915,Wendy's,47170,IN
Litchfield,39.178908,-89.667812,Wendy's,62056,IL
Litchfield,39.17838,-89.66894,McDonald's,62056,IL
Litchfield,39.179074,-89.66839,Taco Bell,62056,IL
Litchfield,39.175855,-89.675151,Jack In The Box,62056,IL
Litchfield,39.17591,-89.675037,Burger King,62056,IL
Marshall,39.41753,-87.69207,Burger King,62441,IL
West Lafayette,40.45299,-86.92139,Burger King,47906,IN
Bedford,38.860945,-86.517296,Wendy's,47421,IN
Bedford,38.84594,-86.51478,Arby's,47421,IN
Angola,41.65625,-84.99869,Burger King,46703,IN
Bedford,38.86139,-86.50716,Burger King,47421,IN
West Lafayette,40.45282,-86.91764,McDonald's,47906,IN
West Lafayette,40.422445,-86.905196,McDonald's,47906,IN
Decatur,40.832525,-84.937673,Wendy's,46733,IN
Decatur,40.832543,-84.937674,McDonald's,46733,IN
Decatur,40.831361,-84.937642,Burger King,46733,IN
Auburn,41.366735,-85.069754,Wendy's,46706,IN
Auburn,41.36617,-85.078917,Arby's,46706,IN
Auburn,41.367208,-85.07851,Taco Bell,46706,IN
Auburn,41.36617,-85.07562,Burger King,46706,IN
Greensburg,39.35524,-85.48443,Wendy's,47240,IN
Greensburg,39.35504,-85.4791,Arby's,47240,IN
Greensburg,39.354294,-85.479835,McDonald's,47240,IN
Marion,40.56957,-85.6764,Arby's,46952,IN
Greensburg,39.35539,-85.48033,Taco Bell,47240,IN
Greensburg,39.35639,-85.48142,Burger King,47240,IN
Muncie,40.219001,-85.385252,Wendy's,47303,IN
Muncie,40.21857,-85.40705,Taco Bell,47304,IN
Muncie,40.21853,-85.430862,McDonald's,47304,IN
Muncie,40.18924,-85.4195,KFC,47304-4449,IN
Muncie,40.2184,-85.39187,Chick-fil-A,47303,IN
Elkhart,41.649018,-85.93835,Burger King,46517,IN
South Bend,41.68069,-86.250378,McDonald's,46601,IN
Dowagiac,41.984592,-86.12269,McDonald's,49047,MI
New Castle,39.9171,-85.384,KFC,47362,IN
